"","p.value","HR","Low 95%CI","High 95%CI"
"PTGFR",0.00669320374164938,0.882432115119305,0.806160137681049,0.96592029473679
"PTH2R",0.403365165819632,0.961384179015922,0.87656023533601,1.05441645924974
"PZP",0.0828810226915276,0.827891267929144,0.668757351179391,1.02489183902738
"RAB3A",0.696731250684403,1.03820709124886,0.859790646480035,1.25364699968789
"RASA3",0.782985639145839,0.973967116419692,0.807282282916404,1.17506845367635
"RASGEF1B",0.323828977973173,0.927995774756078,0.799971835813112,1.07650809617542
"RASGRP2",0.000846845811929916,0.837892617610361,0.755220426138766,0.929614738090973
"RCSD1",0.00203239608194453,0.793988657138087,0.685762428982661,0.919295022620557
"RELT",0.270372981208184,0.893277593771153,0.730851979171936,1.09180091492351
"REM1",0.0964400588790866,0.891004461311417,0.77765523756391,1.02087520501218
"RGL1",0.097339814376918,0.867505394821156,0.733326349166447,1.0262356056062
"RGS2",0.000281837183992762,0.802218928181192,0.712258890166736,0.903541138786668
"RHOF",0.0341628162624928,0.900083302082673,0.816543877638828,0.992169524350279
"RILP",0.00428349936743645,0.783086967706706,0.662137844867534,0.926129209718807
"RNASE1",0.929824597272013,0.992695901609455,0.843255196368624,1.16862031484171
"ROBO3",0.441253154118648,0.951442999792122,0.838231067547612,1.07994539560777
"RSPO3",0.0398633090904558,0.889324374904694,0.795206658589536,0.994581515706176
"RTN1",0.00716462246368576,0.878881438064486,0.799951238955418,0.965599582273223
"RUFY4",0.00146336432529675,0.846801944026787,0.764357898980579,0.938138447138315
"S100A4",0.217652097052523,0.906863565665405,0.776318410722757,1.059361101543
"SDS",0.942598666724079,0.994989076006882,0.867825456160391,1.14078615042385
"SELE",0.00701300767374134,0.887091906838241,0.813102904478402,0.967813602489485
"SEMA7A",0.253276485516164,0.907943066522967,0.769313576493702,1.0715534435312
"SERPINF2",0.00312429244939355,0.831705348768041,0.736023840950591,0.939825245709405
"SGK1",0.0017116399610923,0.756706027885806,0.635714954564996,0.900724465465081
"SH2D2A",0.00097759730932048,0.836651291731904,0.752485502496939,0.930231056457477
"SH3BP5",0.000984382122888251,0.699412335154585,0.565424609308794,0.865150908738101
"SIGLEC7",0.189628413752755,0.905463187421643,0.780594348382191,1.05030684051833
"SIRPA",0.0946958163487621,0.858920035573073,0.718604717745756,1.02663343183041
"SIRPB1",0.149665811954553,0.907927020702504,0.796128026240588,1.03542577041825
"SLAIN1",6.11030363233901e-05,0.839048544161611,0.770056742961926,0.914221537430945
"SLAMF8",0.0408963943012326,0.877421904104714,0.774046874079855,0.994602812288237
"SLC11A1",0.498222391009872,0.955138016337144,0.836336002662951,1.09081592487668
"SLC16A3",0.939250354823938,1.00555392874983,0.872059247989533,1.15948395244397
"SLC17A9",0.12664301462121,0.920699132315848,0.828086606649354,1.02366936675514
"SLC1A3",0.336671796179711,0.929131047974054,0.799748968383944,1.07944434871083
"SLC22A3",0.0439793577769686,0.912768199098527,0.835199148955949,0.997541468196
"SLC26A7",0.614969605749349,0.974127512800439,0.879540998353595,1.07888593365295
"SLC28A3",0.00280517763029527,0.902874932391918,0.844354511521289,0.965451279549605
"SLC2A6",0.479242374851183,0.955732363363777,0.843071165037968,1.08344869123803
"SLC47A1",0.0225543724974154,0.869693795521397,0.771372670683172,0.980547181297636
"SLC6A16",0.163324269287437,0.920224917667,0.818706302765175,1.0343317209543
"SLC9A9",0.00452529934705598,0.796790575154195,0.681138483633607,0.932079504989561
"SLCO4A1",0.812659995901703,0.988170011374403,0.895549101448398,1.09037010902071
"SLCO5A1",0.0515106429635167,0.898045931774423,0.805918255467833,1.00070508405152
"SLFN13",0.110859386454647,0.920054578272852,0.830479187310203,1.01929156074642
"SLFN5",0.278927305751444,0.937111512906398,0.833158790087182,1.05403435463944
"SLITRK2",0.204062246189114,0.916714666324531,0.801592926394431,1.04836975450178
"SOCS3",0.00032975552782352,0.764818330447231,0.66069301092444,0.885353816244604
"SOD3",0.00419805700882095,0.863315153724451,0.780674771292248,0.954703651325325
"SPNS2",0.860832889659374,1.01164043744856,0.888862989820214,1.15137696855634
"SPP1",0.657678582334605,1.02130045698657,0.930393379322723,1.12108990306903
"STAC3",0.338858608133146,0.919701459281086,0.774728783209023,1.09180243788044
"STAT4",6.23135302341818e-06,0.799991761080082,0.726183516849069,0.881301768694684
"STAT5A",0.00108202320072036,0.745341990623576,0.624896672841744,0.889002465736292
"STAT5B",0.0660672090468497,0.802967360570077,0.635433386353104,1.01467218435166
"STRA6",0.019073996903266,0.87165497641032,0.777078292706575,0.977742403863247
"STX11",3.36787357449445e-07,0.660563568044288,0.563285226423762,0.774641703631574
"STXBP6",0.259061190187917,0.942956732877562,0.851517992636339,1.04421445908174
"SUCNR1",0.276917878297647,0.940592951412469,0.842275897459629,1.050386343614
"SV2B",0.404238160422098,0.958113910789203,0.866462939043673,1.05945935444275
"SYT15",0.543564295095269,0.962966915232804,0.852572167976964,1.08765605383689
"TCF7",5.32565863212202e-05,0.762921626779248,0.66908047081276,0.869924372326179
"TCL1A",0.000299397250491804,0.868458998342769,0.804541125198531,0.937454914584276
"TCN2",0.0327215845363797,0.833327242274007,0.704919394724835,0.985125814260046
"TDO2",0.529090024001419,1.03144211978212,0.936649297149712,1.13582837215387
"TEPP",0.267296710931741,0.904078405278526,0.756536006633165,1.0803950581658
"TFAP2A",0.50107634605523,0.94031303888967,0.785978966078733,1.1249520016002
